s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_tlp	s_leafarea
Hymenaea_courbaril	130.06	0.0184583	0.000525017	0.623388	1.06568	52.77	0.2706	1	0.00917431192660551	-1.443	24.5333333333333
Inga_alba	69.1229	0.0333825	0.00100538	0.575189	0.76528	49.02	0.3132	1	0.00917431192660551	-1.73966666666667	34.75
Inga_loubryana	97.699	0.0278338	0.00100538	0.705283	0.406	47.51	0.3336	1	0.00917431192660551	-1.5535	32.8444444444444
Inga_stipularis	96.6077	0.0258852	0.00100538	0.703257	0.33905	51.59	0.293	1	0.00917431192660551	-1.57414285714286	36.6
Iryanthera_sagotiana	88.5725	0.0191371	0.000572265	0.5432	0.49092	48.98	0.3155	1	0.00917431192660551	-1.58438461538462	39.5626658394974
Jacaranda_copaia	83.6987	0.0239994	0.000581905	0.392398	0.40101	49.66	0.3102	1	0.00917431192660551	-1.40892307692308	26.260175571107
Lacunaria_jenmanii	132.799	0.0133171	0.000471262	0.77378	0.23788	47.84	0.3242	1	0.00917431192660551	-2.096	93.9333333333333
Laetia_procera	98.5434	0.0246406	0.000821926	0.580133	0.307	52.67	0.269	1	0.00917431192660551	-1.8777	76.045533320109
Lecythis_persistens	127.42	0.0188062	0.00051705	0.68247	0.3854	50.12	0.3035	1	0.00917431192660551	-1.764	112.91936852415
Lecythis_poiteaui	80.0858	0.027338	0.000548575	0.684073	0.61247	51.01	0.2903	1	0.00917431192660551	-2.27906666666667	58.3532144504123
Licania_alba	134.811	0.0141914	0.000384685	0.765239	0.5662	48.18	0.3142	1	0.00917431192660551	-1.8971914893617	111.058682734724
Licania_canescens	100.593	0.0205314	0.000424966	0.775166	0.35462	46.4	0.324	1	0.00917431192660551	-2.05336363636364	27.5180327868852
Licania_membranacea	123.842	0.0161916	0.000388035	0.795941	0.597	50.95	0.2835	1	0.00917431192660551	-1.92288235294118	45.6680865336687
Licania_micrantha	105.459	0.0156424	0.000385497	0.787618	0.45518	46.93	0.3322	1	0.00917431192660551	-1.82929411764706	49.5222222222222
Licania_ovalifolia	169.782	0.0143706	0.000363557	0.790709	0.54636	48.56	0.3154	1	0.00917431192660551	-1.66933333333333	47.025
Licaria_guianensis	82.4327	0.0223983	0.00096314	0.77318	0.15204	49	0.3098	1	0.00917431192660551	-2.435	18.4444444444444
Mabea_piriri	77.0886	0.0232415	0.000525017	0.63897	0.1828	49.01	0.3105	1	0.00917431192660551	-2.08777777777778	37.2416083017985
Manilkara_bidentata	133.708	0.0152709	0.000468278	0.754735	0.90656	51.75	0.2827	1	0.00917431192660551	-2.05516666666667	133.221192568824
Manilkara_huberi	174.951	0.0150511	0.000500627	0.742233	1.00914	49.64	0.3127	1	0.00917431192660551	-2.2485	95.62
Miconia_acuminata	104.706	0.0253201	0.000525017	0.623247	0.12	51.6	0.2911	1	0.00917431192660551	-2.09842857142857	52.2166666666667
