time	temperature	snet	vpd	ws	rainfall
2004-01-01T00:00:00Z	24.3336556246889	0	-0.18515758476240718	2.914838499634533	0.03975652895098474
2004-01-01T00:30:00Z	24.24885940157651	0	-0.16408018650237455	2.9249149644366828	NA
2004-01-01T01:00:00Z	24.145153628467767	0	-0.15193354810578785	2.842301895317214	0.10741698031201155
2004-01-01T01:30:00Z	24.01038023743297	0	-0.15476465052530283	2.7191218821470313	NA
2004-01-01T02:00:00Z	23.905883246262874	0	-0.16237809826827287	2.6017876170764644	0.23040417438260455
2004-01-01T02:30:00Z	23.867347690073018	0	-0.15873136041735506	2.523224126353131	NA
2004-01-01T03:00:00Z	23.754320587558254	0	-0.1189522321129416	2.5286594451956153	0.33126067136937093
2004-01-01T03:30:00Z	23.481581929530535	0	-0.03827029988599588	2.6735590256771657	NA
2004-01-01T04:00:00Z	23.360981611691614	0	2.674286009764728e-4	2.9186306069799257	0.40740601449771463
2004-01-01T04:30:00Z	23.6438138309976	0	-0.06787371532716725	3.1481411687664855	NA
2004-01-01T05:00:00Z	23.942080084532847	0	-0.14816552093557767	3.251103618991997	0.46981807919854546
2004-01-01T05:30:00Z	23.880179955347785	0	-0.1443433442401979	3.1815049416122325	NA
2004-01-01T06:00:00Z	23.771398070229225	0	-0.12461214916155859	3.073653570092413	0.5150416775872343
2004-01-01T06:30:00Z	23.949866932064765	1.726980342388981	-0.1643418898825953	3.0788084565087237	NA
2004-01-01T07:00:00Z	24.144225504409576	1.726980342388981	-0.20498385378589182	3.24245736802111	0.536778745671546
2004-01-01T07:30:00Z	24.069728975266685	46.863966563919355	-0.18023249006769448	3.5178451921863143	NA
2004-01-01T08:00:00Z	23.993590969763147	46.86396656391935	-0.13297924505728725	3.598577680875104	0.6963297001415045
2004-01-01T08:30:00Z	24.211570585523816	111.5472302970347	-0.1176730057071577	3.265664501522292	NA
2004-01-01T09:00:00Z	24.581650373040873	111.54723029703473	-0.12931197106743092	2.899195165426079	0.7533621685156343
2004-01-01T09:30:00Z	24.90930042249539	194.7562831575949	-0.1499381359077752	2.8799307812667707	NA
2004-01-01T10:00:00Z	25.227717529956294	194.7562831575948	-0.17005759742984264	3.021355683717272	0.7905382406920226
2004-01-01T10:30:00Z	25.587000058516935	325.5357945403247	-0.1844249675895485	3.055495140204219	NA
2004-01-01T11:00:00Z	25.877125933481295	325.5357945403248	-0.19577450841127392	2.933251326434411	0.8632721324912389
2004-01-01T11:30:00Z	25.980033015208505	283.77426989710034	-0.20950048611166766	2.7055016374668313	NA
2004-01-01T12:00:00Z	25.905619342068178	283.77426989710034	-0.23347760009584864	2.603028660139791	1.012588732973815
2004-01-01T12:30:00Z	25.729079133472226	216.65753386334632	-0.2722313139440766	2.798225940526649	NA
2004-01-01T13:00:00Z	25.658831154991844	216.6575338633461	-0.317391114480527	3.0708492339648803	1.1343513034903623
2004-01-01T13:30:00Z	25.862597109896228	303.9485402604623	-0.36141725620390935	3.202839031008049	NA
2004-01-01T14:00:00Z	26.21208590608694	303.9485402604628	-0.4030267454468203	3.369636628882267	1.1573129951287198
2004-01-01T14:30:00Z	26.553510480368857	411.33531791446876	-0.45166475199941125	3.709720430548314	NA
2004-01-01T15:00:00Z	26.927112680526932	411.33531791446876	-0.5601161687042927	3.8300087432935186	1.1780878589919956
2004-01-01T15:30:00Z	27.353799645125434	358.5839183651324	-0.7509944040430637	3.481856079641845	NA
2004-01-01T16:00:00Z	27.583110764865182	358.5839183651324	-0.8877648752094478	3.1364247257166387	1.1792250094350383
2004-01-01T16:30:00Z	27.404748661396752	192.08731353753956	-0.8520326028827412	2.9479665334066296	NA
2004-01-01T17:00:00Z	27.040436628033547	192.08731353753865	-0.7328181422562606	2.8547007024356836	1.1792250094350383
2004-01-01T17:30:00Z	26.750229756526437	90.11697423011628	-0.6418419179716639	2.9135591453587586	NA
2004-01-01T18:00:00Z	26.515489660713683	90.1169742301172	-0.5852790532447388	3.0337047965805914	1.1792250094350383
2004-01-01T18:30:00Z	26.275383352771485	7.614413327805778	-0.5472167154391013	3.104836361243358	NA
2004-01-01T19:00:00Z	26.078992916140578	7.614413327805778	-0.5263556591106175	3.139038235635105	1.179356219101543
2004-01-01T19:30:00Z	25.980364669803123	0	-0.5225596661443833	3.1713166625077016	NA
2004-01-01T20:00:00Z	25.943486803642884	0	-0.5272420157864098	3.194507604976116	1.1852606540942636
2004-01-01T20:30:00Z	25.919671686943786	0	-0.531986753759194	3.193942336723424	NA
2004-01-01T21:00:00Z	25.89958653568982	0	-0.5367658104950228	3.185856078239645	1.1853918637607683
2004-01-01T21:30:00Z	25.879565856509032	0	-0.5419546060917001	3.1813354888144336	NA
2004-01-01T22:00:00Z	25.83925847190659	0	-0.541277702811034	3.1425453150915645	4.373655550175132e-5
2004-01-01T22:30:00Z	25.761534028689084	0	-0.5295399376785458	3.0481281983013644	NA
2004-01-01T23:00:00Z	25.658831154991844	0	-0.5123005004566102	2.98454190747389	2.624193330099875e-4
2004-01-01T23:30:00Z	25.55559637571662	0	-0.49748434462032537	3.03310315301712	NA
2004-01-02T00:00:00Z	25.49473882150147	0	-0.4918948272068483	3.1483398341379076	6.123117770229572e-4
2004-01-02T00:30:00Z	25.500968029640546	0	-0.4980579548034116	3.2598748476087334	NA
2004-01-02T01:00:00Z	25.50773255831632	0	-0.502706091674259	3.319322159691295	0.001049677332039256
2004-01-02T01:30:00Z	25.45075322045068	0	-0.49414258282546414	3.2905093191330663	NA
